HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD22049,2457703.96110,-23.60,1.44,HIRES-Post,0.4767,4.6e-06,-1.0000,-1.0000,rq75.2247
HD22049,2457703.96162,-10.33,1.15,HIRES-Post,0.4878,4.3e-06,-1.0000,-1.0000,rq75.2248
HD22049,2457703.96217,-16.85,1.05,HIRES-Post,0.4797,4.5e-06,-1.0000,-1.0000,rq75.2249
HD22049,2457712.99366,-7.85,1.14,HIRES-Post,0.4474,5.4e-06,-1.0000,-1.0000,rq75.2799
HD22049,2457789.75071,-17.08,1.21,HIRES-Post,0.4112,4.9e-06,-1.0000,-1.0000,rq75.6372
HD22049,2457790.73783,-10.00,1.07,HIRES-Post,0.4244,5.1e-06,-1.0000,-1.0000,rq75.6576
HD22049,2457803.70490,-3.96,1.12,HIRES-Post,0.4356,4.5e-06,-1.0000,-1.0000,rq75.7564
HD22049,2457804.70801,-7.48,1.22,HIRES-Post,0.4491,5.5e-06,-1.0000,-1.0000,rq75.7765
HD22049,2457806.79284,-13.45,1.15,HIRES-Post,0.4480,6.7e-06,-1.0000,-1.0000,rq75.8078
HD22049,2457828.75533,-15.07,1.13,HIRES-Post,0.5050,6.9e-06,-1.0000,-1.0000,rq75.8577
HD22049,2457829.71958,-22.09,1.05,HIRES-Post,0.4259,5.5e-06,-1.0000,-1.0000,rq75.8767
HD22049,2457830.72062,-12.83,1.20,HIRES-Post,0.4406,5.1e-06,-1.0000,-1.0000,rq75.8972
HD22049,2458000.15437,-4.42,0.84,HIRES-Post,0.4224,4e-06,-1.0000,-1.0000,rq76.6346
HD22049,2458001.15255,-3.56,0.94,HIRES-Post,0.4217,4.3e-06,-1.0000,-1.0000,rq76.6533
HD22049,2458003.15214,-12.01,0.89,HIRES-Post,0.4248,4.8e-06,-1.0000,-1.0000,rq76.6756
HD22049,2458029.93909,-11.05,1.03,HIRES-Post,0.4181,3.6e-06,-1.0000,-1.0000,rq76.7808
HD22049,2458065.90484,-10.78,1.28,HIRES-Post,0.4112,5.4e-06,-1.0000,-1.0000,rq76.8391
HD22049,2458091.91031,-16.81,1.26,HIRES-Post,0.4283,5.3e-06,-1.0000,-1.0000,rq76.9095
