objname,ra,dec,bjd,rv,rv_err,fwhm,span,maxcpp,contrast,lines,sn26
HD004614,11.5447281506442,57.5428492030496,2454106.26493658,8411.35025024414,0.454238,7695.88,,30036,32.932,4708,300.972
HD004614,11.5447281506442,57.5428492030496,2454754.53404701,8430.97114562988,0.552259,7738.0599999999995,-6.0,19660,32.6678,4737,258.391
HD004614,11.5447281506442,57.5428492030496,2454516.31193302,8446.88987731934,0.62052,7793.41,-4.16667,15349,31.956,4706,246.102
HD004614,11.5447281506442,57.5428492030496,2456280.46358038,8487.629890441889,0.7569640000000001,7757.82,-5.0,10716,32.3006,4709,191.348
HD004614,11.5447281506442,57.5428492030496,2454741.61662363,8476.96208953857,0.69768,7730.0599999999995,-4.0,12363,32.3247,4749,205.814
HD004614,11.5447281506442,57.5428492030496,2454519.29932296,8447.93510437012,0.434715,9374.380000000001,8.33333,54972,27.0932,4701,466.402
HD004614,11.5447281506442,57.5428492030496,2456280.48288496,8486.90223693848,0.864884,7754.64,-4.16667,8212,32.1741,4709,168.001
HD004614,11.5447281506442,57.5428492030496,2454104.2435104,8430.72414398193,0.416653,7693.42,,35560,33.0435,4708,326.078
HD004614,11.5447281506442,57.5428492030496,2454740.54954979,8472.65148162842,0.842954,7706.69,-8.16667,8717,32.3939,4749,165.236
HD004614,11.5447281506442,57.5428492030496,2455937.43801089,8423.69556427002,0.815793,9560.44,-2.5,17305,26.5263,4701,238.114
HD004614,11.5447281506442,57.5428492030496,2454518.34298324,8445.85990905762,0.382164,7747.05,-3.3333299999999997,39607,32.7467,4707,362.763
HD004614,11.5447281506442,57.5428492030496,2454107.27295229,8429.71324920654,0.390577,7698.47,,40054,33.013,4708,349.389
HD004614,11.5447281506442,57.5428492030496,2454741.62442482,8473.66142272949,0.644584,7728.4800000000005,-3.3333299999999997,14419,32.4598,4749,219.383
HD004614,11.5447281506442,57.5428492030496,2455938.28381265,8431.24103546143,0.591433,9540.34,-10.833300000000001,33525,26.8271,4701,325.4
HD004614,11.5447281506442,57.5428492030496,2455937.45765082,8424.84378814697,0.8794430000000001,9564.460000000001,-8.83333,14772,26.4273,4701,221.48
HD004614,11.5447281506442,57.5428492030496,2454105.2661559,8445.20092010498,0.471068,7695.15,,28164,32.9221,4708,291.476
HD004614,11.5447281506442,57.5428492030496,2454520.35529806,8444.0803527832,1.18702,9421.5,5.666670000000001,7622,26.6501,4701,159.493
HD004614,11.5447281506442,57.5428492030496,2455936.38798581,8486.61136627197,0.824183,7734.650000000001,-6.33333,9101,32.5169,4706,171.065
HD004614,11.5447281506442,57.5428492030496,2456280.36949949,8490.8390045166,0.9264950000000001,7728.55,-7.5,7381,32.4183,4709,152.159
HD004614,11.5447281506442,57.5428492030496,2456280.37261276,8493.68762969971,0.775012,7739.76,-4.83333,10396,32.4886,4709,183.135
HD004614,11.5447281506442,57.5428492030496,2454105.26921126,8437.93106079102,0.467687,7697.650000000001,,28577,32.9031,4708,294.324
HD004614,11.5447281506442,57.5428492030496,2455937.46585631,8425.25386810303,0.8741279999999999,9565.34,-5.0,14954,26.4587,4701,221.934
HD004614,11.5447281506442,57.5428492030496,2455936.46447396,8483.80947113037,1.0221900000000002,7741.990000000001,-5.33333,5871,32.2114,4706,138.798
HD004614,11.5447281506442,57.5428492030496,2456280.36422198,8492.70534515381,0.774519,7733.87,-6.16667,10439,32.5724,4709,181.257
HD004614,11.5447281506442,57.5428492030496,2455936.23546085,8487.23793029785,0.786034,7733.88,-5.33333,10029,32.696,4708,178.68
HD004614,11.5447281506442,57.5428492030496,2454520.33298464,8435.9016418457,0.578457,9439.27,-0.5,31875,27.0412,4701,327.92
HD004614,11.5447281506442,57.5428492030496,2455936.48934505,8471.35353088379,0.896474,7857.490000000001,-15.666699999999999,7088,30.9725,4706,184.91
HD004614,11.5447281506442,57.5428492030496,2455937.3129958,8429.84199523926,0.6585169999999999,9546.71,-4.16667,27103,26.7473,4701,293.898
HD004614,11.5447281506442,57.5428492030496,2455938.28307196,8429.89826202393,0.59185,9543.49,-8.33333,33499,26.8111,4701,325.647
HD004614,11.5447281506442,57.5428492030496,2454520.27673818,8452.46887207031,0.592087,7762.41,-4.666670000000001,16892,32.3454,4708,243.068
HD004614,11.5447281506442,57.5428492030496,2454107.25479371,8416.97978973389,0.374386,7696.49,,43521,33.0578,4708,363.611
HD004614,11.5447281506442,57.5428492030496,2453995.59491821,8453.86028289795,0.479205,7673.879999999999,,26118,32.9675,4756,283.022
HD004614,11.5447281506442,57.5428492030496,2455936.39222164,8486.98806762695,0.7546039999999999,7739.81,-9.0,10752,32.5218,4706,186.889
HD004614,11.5447281506442,57.5428492030496,2454104.2807072,8445.94764709473,0.502969,7697.56,,24711,32.8532,4708,272.403
HD004614,11.5447281506442,57.5428492030496,2455937.39532845,8424.42607879639,0.678144,9553.41,-8.5,25160,26.6792,4701,285.488
HD004614,11.5447281506442,57.5428492030496,2455937.40657773,8424.52239990234,0.805142,9562.29,-4.33333,17876,26.5426,4701,242.044
HD004614,11.5447281506442,57.5428492030496,2455937.47428169,8424.08657073975,0.822269,9560.37,-9.83333,16794,26.495,4701,235.964
HD004614,11.5447281506442,57.5428492030496,2453995.59320517,8458.00018310547,0.49259499999999995,7678.5199999999995,,24815,32.9225,4756,275.524
HD004614,11.5447281506442,57.5428492030496,2455936.29061936,8487.99228668213,0.663071,7729.17,-5.0,14068,32.6986,4707,211.44
HD004614,11.5447281506442,57.5428492030496,2455937.434319,8424.78942871094,0.823392,9557.96,-2.33333,16969,26.5134,4701,236.053
HD004614,11.5447281506442,57.5428492030496,2456280.3835497,8488.66844177246,0.8563000000000001,7734.77,-3.16667,8566,32.3981,4709,166.105
HD004614,11.5447281506442,57.5428492030496,2454107.26994322,8427.08683013916,0.393469,7698.08,,39441,32.9965,4708,347.177
HD004614,11.5447281506442,57.5428492030496,2454741.57787231,8469.76566314697,0.591546,7712.1,-0.833333,17270,32.794,4749,232.472
HD004614,11.5447281506442,57.5428492030496,2454515.40531352,8456.09951019287,1.18414,7780.66,-3.0,4187,31.4139,4705,125.909
HD004614,11.5447281506442,57.5428492030496,2454022.50003254,8431.82373046875,0.626502,7680.450000000001,,14874,33.3298,4742,216.036
HD004614,11.5447281506442,57.5428492030496,2454520.34110913,8450.2534866333,0.519007,9379.33,5.5,38605,27.1887,4701,363.163
HD004614,11.5447281506442,57.5428492030496,2454740.57371731,8473.2780456543,0.692798,7726.9800000000005,-6.5,12773,32.5102,4749,205.43
