objname,ra,dec,bjd,rv,rv_err,fwhm,span,maxcpp,contrast,lines,sn26
HD102870,177.032629363532,2.04281806823269,2454461.72903413,4518.77450942993,0.9699329999999999,8815.699999999999,36.666700000000006,6596,34.2306,4764,149.122
HD102870,177.032629363532,2.04281806823269,2457535.4152213,4487.1726036071805,0.546327,8958.7,27.5,16688,33.7919,4675,293.244
HD102870,177.032629363532,2.04281806823269,2454464.72854597,4511.0964775085395,1.4111799999999999,8802.300000000001,34.0,3282,33.2103,4763,104.177
HD102870,177.032629363532,2.04281806823269,2454905.56166667,4502.22969055176,0.839167,8793.97,43.0,8703,34.7784,4718,165.341
HD102870,177.032629363532,2.04281806823269,2454950.36811808,4507.89976119995,0.976364,8722.009999999998,,7188,32.5173,4704,147.239
HD102870,177.032629363532,2.04281806823269,2454936.44306933,4484.76791381836,2.3710799999999996,8729.76,20.1667,1460,33.1007,4696,63.998
HD102870,177.032629363532,2.04281806823269,2454884.52210643,4505.8650970459,1.02153,8810.050000000001,49.1667,5941,34.5246,4736,136.949
HD102870,177.032629363532,2.04281806823269,2454885.58846945,4507.3881149292,0.66123,8812.939999999999,40.6667,13776,34.9328,4735,209.624
HD102870,177.032629363532,2.04281806823269,2454881.58575022,4508.13770294189,1.60863,8775.140000000001,35.666700000000006,2835,34.112,4737,91.7723
HD102870,177.032629363532,2.04281806823269,2454871.60091812,4505.90324401855,0.333443,8812.939999999999,38.3333,52157,35.2906,4743,412.464
HD102870,177.032629363532,2.04281806823269,2454524.5097323,4489.59302902222,0.6728339999999999,8810.119999999999,35.0,12720,34.9011,4729,209.973
HD102870,177.032629363532,2.04281806823269,2454461.72802709,4517.19427108765,0.885759,8807.28,38.3333,7915,34.4769,4764,161.505
HD102870,177.032629363532,2.04281806823269,2454879.58758735,4503.01837921143,1.52753,8781.22,46.1667,3085,34.1785,4741,96.4902
HD102870,177.032629363532,2.04281806823269,2454465.73058966,4508.56828689575,1.15281,8802.08,38.6667,4857,33.8996,4763,126.775
HD102870,177.032629363532,2.04281806823269,2454597.36038082,4495.99695205688,0.675418,8825.46,36.0,12500,34.6896,4683,212.853
HD102870,177.032629363532,2.04281806823269,2454954.37840657,4501.60074234009,0.691319,8790.47,39.0,12287,34.9226,4685,200.68
HD102870,177.032629363532,2.04281806823269,2454164.50778682,4486.06014251709,0.329702,8778.24,,52761,35.4709,4722,413.307
HD102870,177.032629363532,2.04281806823269,2454528.57598782,4509.65118408203,0.674912,8893.64,34.333299999999994,11877,33.8422,4722,230.171
HD102870,177.032629363532,2.04281806823269,2454555.5151165,4491.42408370972,0.440796,8859.72,40.3333,29380,34.7161,4706,338.889
